sales_key,customer_key,product_key,date_key,load_date,quantity,gross_revenue,returns_amount,net_revenue
6bb9976df7a6,8426030cf787,3da8eef4fef2,2024-04-26,2024-04-26,24,5974.73,0.0,5974.73
10782439a62f,13440d248e91,49ba8e93926a,2024-05-29,2024-05-29,45,29135.21,0.0,29135.21
56f6386165fc,4543e891b2dd,c38a7bcf3a53,2024-05-25,2024-05-25,31,12766.11,740.43,12025.68
d71622cd314b,68783a793ffd,fe88323aa47c,2024-02-03,2024-02-03,26,6998.07,0.0,6998.07
668fc6143026,9e9a7b8d4456,43732b545005,2024-02-13,2024-02-13,16,9833.76,0.0,9833.76
342b911aeb4e,f280b3fd3f85,79f6d802ad89,2024-09-24,2024-09-24,25,3591.29,258.57,3332.72
760d8870826f,7f8cccb9fcf9,c38a7bcf3a53,2024-11-13,2024-11-13,4,1756.23,200.21,1556.02
06b4df88f212,7c80be206f97,0f83205e3d33,2024-12-04,2025-02-05,6,2086.78,0.0,2086.78
8a2682188496,7e2b91a7e011,1a6d32022bb8,2024-08-28,2024-08-28,19,7874.79,0.0,7874.79
a8ed89ceb94f,634762e2c181,78846e412796,2024-04-29,2024-04-29,17,7169.71,0.0,7169.71
c9347dcc5986,0b178394382e,fe88323aa47c,2024-10-05,2024-10-05,15,4353.34,0.0,4353.34
0fb466431b3a,2e4924f7b201,5ac038e72743,2024-06-06,2024-06-06,39,16485.85,0.0,16485.85
fead9f644c2c,7e2b91a7e011,43732b545005,2024-12-24,2024-12-24,26,24117.89,0.0,24117.89
513fa29a8b9e,a64e7cec3a3d,71421cc4a202,2024-08-09,2024-08-09,48,15131.86,0.0,15131.86
b54414fa8dc6,2c191986838c,8d4b91272e30,2024-01-11,2024-01-11,49,14554.43,0.0,14554.43
86c5536fb9ed,7777edf60436,009da4c25139,2024-11-29,2024-11-29,29,19026.59,0.0,19026.59
32a3728479c8,79df87ccb0ea,6e3433aaf26b,2024-08-28,2024-08-28,23,6279.01,0.0,6279.01
89ca93ee0c20,748cde6bb286,ea01d2f0c612,2024-09-10,2024-09-10,19,3328.22,0.0,3328.22
48b769b81bdf,7492940dae1c,0368fe938df0,2024-05-09,2024-05-09,21,8509.65,1004.14,7505.51
a5ef2deeef59,fb371819b161,65179f62f1ab,2024-10-04,2024-10-04,30,19543.59,0.0,19543.59
b2b91a4f62e9,ef4722686c72,ff1611f630b9,2024-01-27,2024-01-27,14,4077.15,0.0,4077.15
79643b05585e,37c1720bdccb,fe88323aa47c,2024-01-15,2024-01-15,41,11684.36,0.0,11684.36
eaa88045a86c,7269a70303cf,f12aa4e8831a,2024-02-17,2024-02-17,15,10176.48,0.0,10176.48
0c6015ccaec9,5636e4cfcef6,c1ec1f84d61b,2024-05-29,2024-05-29,33,17775.44,0.0,17775.44
55d6b87d10a7,2793042e322d,49ba8e93926a,2024-03-15,2024-03-15,25,11196.24,0.0,11196.24
139b236d88e1,227a069fea9c,c8def53aa5e1,2024-07-31,2024-07-31,22,14780.33,0.0,14780.33
96d8b6ea322e,259cfa42932f,a28f10595545,2024-10-27,2024-10-27,38,25483.01,0.0,25483.01
ac5fa1f21aa7,a56feadbf2e4,3a56db8703f1,2024-10-09,2024-10-09,49,28939.42,0.0,28939.42
f38340d66d33,25e941e73e75,e8c7cab22da2,2024-10-19,2024-10-19,25,12337.76,0.0,12337.76
c32618202c59,6ad2ebd0f598,256894ada995,2024-07-14,2024-07-14,25,18569.04,0.0,18569.04
8c8931aeebf3,dcd3939a4216,90bb7006a461,2024-09-14,2024-09-14,38,3457.96,0.0,3457.96
cc385b6ed699,2793042e322d,091b5b2306f4,2024-03-14,2024-03-14,27,20956.52,0.0,20956.52
29e710d3baec,99958cf74ca8,3a56db8703f1,2024-11-15,2024-11-15,45,24678.82,0.0,24678.82
321da20a54cd,96c7d03cc7cd,2565587639ac,2024-06-11,2024-06-11,41,20335.22,2358.89,17976.33
d45b34627ba6,227a069fea9c,e8c7cab22da2,2024-11-19,2024-11-19,44,30324.36,0.0,30324.36
233544a2ed07,d947432308b5,5da6f21ae473,2024-11-20,2024-11-20,46,34079.2,0.0,34079.2
fc42021c17a0,a09e16b50fa5,0368fe938df0,2024-01-29,2024-01-29,19,8854.82,0.0,8854.82
08af85f7540e,3134fc219e76,5ac038e72743,2024-04-02,2024-04-02,11,3463.31,0.0,3463.31
b78eb6c53a0a,18c31d2615e8,256894ada995,2024-10-25,2024-10-25,10,5170.37,0.0,5170.37
1c98200354af,da3412d15174,5c67ff91b651,2024-05-27,2024-05-27,44,11196.5,223.93,10972.57
d800ea946c54,259cfa42932f,27277b752d50,2024-08-05,2024-08-05,45,1076.73,0.0,1076.73
ddfad763ba5b,d0c07c721fca,726cea0fee93,2024-05-01,2024-05-01,25,8405.38,756.48,7648.9
5145037e82ce,fea9c201a72a,2dd08ca9a60e,2024-05-20,2024-05-20,1,352.23,0.0,352.23
bde6e1c01720,0e80b9f7aafc,5dae24f1c6b7,2024-09-11,2024-09-11,19,15457.8,0.0,15457.8
68eca6d67b9f,6202d1545806,520c845dde88,2024-05-08,2024-05-08,44,32095.96,0.0,32095.96
8edc33d96f47,654c927d3dec,6b95c48aaa47,2024-11-17,2024-11-17,42,11675.79,0.0,11675.79
e2b3fa27e341,fc06a1ad75ec,6e3433aaf26b,2024-05-31,2024-05-31,21,6751.83,0.0,6751.83
8376cda9b5c3,ccc546909072,009da4c25139,2024-09-13,2024-09-13,18,11391.2,0.0,11391.2
4ebaadc9a89b,fd6fe3540fdd,5dae24f1c6b7,2024-06-22,2024-06-22,8,5629.36,0.0,5629.36
c59921240695,4aab89cd5624,1338b20b0557,2024-12-11,2024-12-11,26,4005.46,0.0,4005.46
8be6521e401f,4543e891b2dd,0f83205e3d33,2024-10-01,2024-10-01,8,3282.29,0.0,3282.29
d432d10a6dbb,d824ebf91c32,d96541af0a6a,2024-02-25,2024-02-25,44,10159.14,142.23,10016.91
d80b57f7e763,a6e86fecf342,32ca003f13d5,2024-11-27,2024-11-27,5,846.39,0.0,846.39
4e5210741830,540f2386f45e,90bb7006a461,2024-01-24,2024-01-24,3,268.88,0.0,268.88
0c22d994654f,0a2e4a321d50,2565587639ac,2024-08-20,2024-08-20,24,11644.78,1327.5,10317.28
c1d97c6d7806,63a3a6aac2fe,1338b20b0557,2024-03-20,2024-03-20,27,3632.94,0.0,3632.94
9d860dbd62a0,7ae1ec8148d5,1a4342d78389,2024-12-19,2024-12-19,24,3803.27,0.0,3803.27
a95d2f98fa3c,8eaf256db9cb,d96541af0a6a,2024-10-05,2024-10-05,42,10395.67,0.0,10395.67
5e65cc283ed2,2793042e322d,6e3433aaf26b,2024-12-05,2024-12-05,14,4289.37,0.0,4289.37
e8fbf529d1b2,ec15ce5b25ea,90bb7006a461,2024-10-16,2024-10-16,14,1090.82,0.0,1090.82
21826f28c8f6,96bbf587646d,3a56db8703f1,2024-03-16,2024-03-16,39,16939.87,0.0,16939.87
cf517c7d8270,b3e8f6aa7ed8,e07b1801bfc0,2024-03-30,2024-03-30,8,1775.18,0.0,1775.18
b7afd1e18419,3399bf49212a,8d4b91272e30,2024-06-14,2024-06-14,2,457.86,0.0,457.86
a21be53a4978,63a3a6aac2fe,8a0b6d17b12e,2024-08-31,2024-08-31,29,22876.12,0.0,22876.12
0a2b58a4b683,df0659fb21d6,1a4342d78389,2024-12-03,2024-12-03,34,5652.65,0.0,5652.65
fd94fc13d33c,034f3816818b,2229196545d7,2024-12-17,2024-12-17,7,3451.54,0.0,3451.54
6a75426ff7a1,0e80b9f7aafc,34d8515f8fff,2024-02-03,2024-02-03,9,1193.53,0.0,1193.53
d05fbafdf58d,28322c0d1d6c,009da4c25139,2024-05-30,2024-05-30,30,16338.34,0.0,16338.34
223088a4821e,72ff69535329,a5c6a1018b87,2024-10-09,2024-10-09,47,43764.16,3063.49,40700.67
88e9abb2220d,2793042e322d,2dd08ca9a60e,2024-07-31,2024-07-31,47,12781.92,0.0,12781.92
d8deee347d5d,5636e4cfcef6,78846e412796,2024-08-30,2024-08-30,5,1466.66,0.0,1466.66
75c598c8ac93,f6055b44d7fe,e07b1801bfc0,2024-03-07,2024-03-07,36,5766.44,0.0,5766.44
8231791a6683,748cde6bb286,b4671d06768a,2024-12-06,2024-12-06,49,19299.32,0.0,19299.32
e454bed38aa1,4842439dcbf0,b4671d06768a,2024-02-23,2024-02-23,37,15213.15,0.0,15213.15
fb001c2a888b,af17a1838886,3b0e4cfdd3b3,2024-10-11,2024-10-11,24,9293.99,0.0,9293.99
50a23ae39e19,e37e57b93f67,79f6d802ad89,2024-11-14,2024-11-14,40,6407.31,0.0,6407.31
000b4cbe6c03,ccbdabda08d4,c8def53aa5e1,2024-01-15,2024-01-15,12,5872.9,687.13,5185.77
0823a2d648b7,4f978b56d50b,48dda018cffc,2024-03-14,2024-03-14,37,19684.68,0.0,19684.68
4caf6d5beec5,f14462748587,5dae24f1c6b7,2024-09-28,2024-09-28,14,9390.25,0.0,9390.25
7ada36c47370,f9e94f6eec37,79f6d802ad89,2024-10-17,2024-10-17,39,4552.43,0.0,4552.43
ecbd632b93fe,314bca13b9c3,6e3433aaf26b,2024-05-19,2024-05-19,29,8969.07,0.0,8969.07
1cff90c0604d,a38c92a09b51,9dfb688e46f3,2024-02-28,2024-02-28,23,8350.98,0.0,8350.98
f6ec21d5e87a,cd29770f7454,43732b545005,2024-01-24,2024-01-24,15,10795.95,0.0,10795.95
7d6eac2aa9ed,7c80be206f97,79f6d802ad89,2024-03-11,2024-03-11,49,6335.23,0.0,6335.23
431731357cf8,ffd7314f1b59,90bb7006a461,2024-07-13,2024-07-13,35,3831.13,0.0,3831.13
ec4cfd81e9ed,634762e2c181,2dd08ca9a60e,2024-01-22,2024-01-22,28,7250.3,1007.79,6242.51
c91630f40423,dad819b0207d,2dd08ca9a60e,2024-12-29,2024-12-29,41,13405.33,0.0,13405.33
c2ae5a71e4f3,da3412d15174,520c845dde88,2024-08-23,2024-08-23,45,35214.91,0.0,35214.91
15e95238d479,be7c9e834229,2dd08ca9a60e,2024-09-25,2024-09-25,6,1939.32,0.0,1939.32
dd9c9bc45927,119fc927c12e,8a0b6d17b12e,2024-09-18,2024-09-18,41,22915.11,1856.12,21058.99
174c9b2c33d6,b3292f1c9faa,ecad9c574b3a,2024-11-26,2024-11-26,10,3207.93,0.0,3207.93
54032a207061,6d33b834a072,5da6f21ae473,2024-12-01,2024-12-01,5,2618.49,0.0,2618.49
ce9b7f262cdb,6d33b834a072,8d4b91272e30,2024-08-17,2024-08-17,44,14584.64,0.0,14584.64
381f2978c261,ef4722686c72,0368fe938df0,2024-03-18,2024-03-18,29,11405.0,0.0,11405.0
d653f866df18,2d9a97d65cf5,b4671d06768a,2024-09-16,2024-09-16,5,1854.07,0.0,1854.07
e5e9cc2b023a,9f931bb14d80,a5c6a1018b87,2024-02-16,2024-02-16,40,32972.54,0.0,32972.54
986c1a74efad,1d4c27fa2cca,6b95c48aaa47,2024-01-22,2024-01-22,29,12616.04,0.0,12616.04
cc908b263bc0,21894382c337,34d8515f8fff,2024-02-01,2024-02-01,29,3474.22,0.0,3474.22
1fd8e7fb8ddd,89b8f8706d3b,a5c6a1018b87,2024-03-29,2024-03-29,3,2063.95,0.0,2063.95
91e01b7761e3,0ad8184bd347,d96541af0a6a,2024-07-09,2024-07-09,19,4775.53,0.0,4775.53
1754a9ac03bd,08fa48a83a30,a5c6a1018b87,2024-06-20,2024-06-20,5,3601.2,0.0,3601.2
3c207779c645,fea9c201a72a,256894ada995,2024-11-04,2024-11-04,10,5472.37,0.0,5472.37
c39b9a4854b1,72ff69535329,ea01d2f0c612,2024-12-05,2024-12-05,26,3430.57,0.0,3430.57
43a2625c8392,362691ab7884,5ac038e72743,2024-06-17,2024-06-17,9,3671.06,0.0,3671.06
a69a9971413a,0f6ffc4abb4e,6e3433aaf26b,2024-11-26,2024-11-26,43,11831.66,0.0,11831.66
8f895dca7858,7c80be206f97,3a56db8703f1,2024-09-05,2024-09-05,13,6487.16,0.0,6487.16
37d3978baac8,d947432308b5,9dfb688e46f3,2024-10-03,2024-10-03,48,21525.91,0.0,21525.91
4edf164bf617,fc06a1ad75ec,1a6d32022bb8,2024-07-11,2024-07-11,10,4495.12,0.0,4495.12
e00a4c1c2b66,2e4924f7b201,1338b20b0557,2024-08-12,2024-08-12,3,357.94,0.0,357.94
3e35f84f0ec6,f0f62be4e41e,5da6f21ae473,2024-08-17,2024-08-17,15,9526.98,0.0,9526.98
5fa4119413ea,8426030cf787,d96541af0a6a,2024-12-13,2024-12-13,37,12241.37,0.0,12241.37
3ff4d9b8c21b,a76b10e0a594,f12aa4e8831a,2024-03-23,2024-03-23,13,8143.71,0.0,8143.71
83705772ecf7,f6055b44d7fe,49ba8e93926a,2024-02-22,2024-02-22,46,28586.07,0.0,28586.07
90823bc21527,c4b5766ac95e,ff1611f630b9,2024-09-19,2024-09-19,10,3841.75,88.36,3753.39
b4248add085c,af17a1838886,dbd32c932e6d,2024-01-14,2024-01-14,27,7642.1,0.0,7642.1
155b5f34c59d,f6055b44d7fe,32ca003f13d5,2024-01-15,2024-01-15,21,4046.63,0.0,4046.63
a7723f839747,254c9ac7c99a,1a4342d78389,2024-05-26,2024-05-26,31,6282.26,0.0,6282.26
79542fed45ec,c0fc8a590b37,6b95c48aaa47,2024-02-10,2024-02-10,2,634.18,0.0,634.18
ba3b8048d20b,a76b10e0a594,2229196545d7,2024-02-26,2024-02-26,50,22149.57,0.0,22149.57
9aa357a297f8,22b27fb89586,520c845dde88,2024-08-22,2024-10-28,5,2604.76,0.0,2604.76
e5659d348859,2c191986838c,e8c7cab22da2,2024-03-14,2024-03-14,19,10435.1,0.0,10435.1
2c338bc76144,cd29770f7454,65179f62f1ab,2024-02-13,2024-02-13,34,28648.74,0.0,28648.74
56abe8aed7b7,89b8f8706d3b,49ba8e93926a,2024-01-11,2024-01-11,25,15717.62,0.0,15717.62
584fece69cd8,7721e9d82d2b,0dd77115c4f3,2024-07-01,2024-07-01,5,1314.09,0.0,1314.09
de5144535ce4,06bdae2b8a12,5da6f21ae473,2024-06-19,2024-06-19,9,4340.05,0.0,4340.05
b850f03a77d2,8ac329aaa1cf,78846e412796,2024-08-25,2024-08-25,45,16412.87,0.0,16412.87
fc6d2800de80,84c3e681e5ba,1a4342d78389,2024-05-30,2024-05-30,13,1852.01,0.0,1852.01
5d5f49e925f3,d53a1acc4d1a,2dd08ca9a60e,2024-10-05,2024-10-05,31,9266.92,0.0,9266.92
dcfc72f7fcaa,8ac329aaa1cf,459ae78ee6d3,2024-12-01,2024-12-01,22,6311.63,0.0,6311.63
5693c502e541,c5040629e97d,6b95c48aaa47,2024-07-16,2024-07-16,22,9827.73,0.0,9827.73
b06e2df98121,24366d932c58,c8def53aa5e1,2024-02-12,2024-02-12,47,24963.89,1747.47,23216.42
7b672bd12c24,fd6fe3540fdd,0368fe938df0,2024-02-22,2024-02-22,6,2750.3,0.0,2750.3
a1e7491ad37e,2e4924f7b201,ea01d2f0c612,2024-08-15,2024-08-15,23,3627.5,406.28,3221.22
1b8eb64fc7fb,dd41ab8a40cd,c8def53aa5e1,2024-11-23,2024-11-23,4,1738.8,0.0,1738.8
eb0688b96179,4aab89cd5624,791de21059e1,2024-01-16,2024-01-16,10,449.82,0.0,449.82
c88c7c6de49f,3399bf49212a,79f6d802ad89,2024-11-26,2024-11-26,24,3291.45,0.0,3291.45
ddc44eb602ab,459fa76a4b8d,d96541af0a6a,2024-07-09,2024-07-09,29,8739.74,0.0,8739.74
e3bc1a17ac61,4e8f476340d2,c8def53aa5e1,2024-05-07,2024-05-07,8,3369.12,0.0,3369.12
ef11af6329e9,dd89662ae708,0f83205e3d33,2024-05-13,2024-05-13,46,18790.97,0.0,18790.97
3d1cfcffdd3a,79df87ccb0ea,ace6f1af0777,2024-03-03,2024-03-03,9,3743.99,273.31,3470.68
df39ff622305,7492940dae1c,e07b1801bfc0,2024-12-15,2024-12-15,21,4674.47,0.0,4674.47
84561cba3c44,259cfa42932f,3b0e4cfdd3b3,2024-03-21,2024-03-21,46,24373.26,0.0,24373.26
640827ed29de,f280b3fd3f85,fe88323aa47c,2024-04-12,2024-04-12,9,2112.26,0.0,2112.26
e4c2c4630000,3a132da25e89,e07b1801bfc0,2024-10-09,2024-10-09,9,1951.69,0.0,1951.69
7db7ed1afe2c,92e3f2730357,e5b0897fe847,2024-09-26,2024-09-26,27,10674.75,0.0,10674.75
917671ef938b,362691ab7884,8a0b6d17b12e,2024-08-18,2024-08-18,30,22647.84,1313.57,21334.27
896db20c349d,d824ebf91c32,8d4b91272e30,2024-04-03,2024-04-03,50,16861.36,1197.16,15664.2
bea560bf694b,0fa978572c1d,009da4c25139,2024-03-19,2024-03-19,20,9040.82,0.0,9040.82
075b6a2c5d2b,24366d932c58,6b95c48aaa47,2024-05-25,2024-05-25,6,1896.79,0.0,1896.79
2964b3de4ef6,a2c6033263c5,520c845dde88,2024-09-30,2024-09-30,6,3885.79,132.12,3753.67
57455097ef7d,fea9c201a72a,520c845dde88,2024-11-05,2024-11-05,22,16666.63,0.0,16666.63
4cd7da7ea6af,a09e16b50fa5,a5c6a1018b87,2024-10-22,2024-10-22,17,14395.1,0.0,14395.1
fa292cf36b59,18c31d2615e8,71421cc4a202,2024-11-17,2024-11-17,35,10835.96,0.0,10835.96
0021a71c60bf,8eaf256db9cb,2dd08ca9a60e,2024-06-01,2024-06-01,30,8045.57,0.0,8045.57
16a03673d410,cb00c326cde3,3a56db8703f1,2024-11-06,2024-11-06,10,5238.8,0.0,5238.8
b6a07257c452,034f3816818b,90bb7006a461,2024-07-08,2024-07-08,33,3379.41,0.0,3379.41
43c891b61fed,554ee864a7f8,34d8515f8fff,2024-02-19,2024-02-19,4,535.0,0.0,535.0
82709e9d0347,0ad8184bd347,ecad9c574b3a,2024-06-16,2024-06-16,37,15183.9,0.0,15183.9
3c1134ee0375,3a132da25e89,c1ec1f84d61b,2024-06-06,2024-06-06,32,11904.66,0.0,11904.66
b6ac2807f971,2804f4e48008,8d4b91272e30,2024-06-29,2024-06-29,4,848.06,67.0,781.06
52266f27b4eb,7777edf60436,3da8eef4fef2,2024-10-01,2024-10-01,1,347.93,24.36,323.57
bc1ed68ed7e5,091d837da01d,2dd08ca9a60e,2024-07-06,2024-07-06,3,972.12,0.0,972.12
b6c436f110c6,634762e2c181,2565587639ac,2024-09-15,2024-09-15,29,14679.62,719.3,13960.32
b2dfc042a401,dd89662ae708,90bb7006a461,2024-02-19,2024-02-19,26,2419.18,0.0,2419.18
ec7e8de13c32,c5571432badd,ace6f1af0777,2024-11-04,2024-11-04,33,11093.95,0.0,11093.95
e1d251d9a8d8,da3412d15174,e5b0897fe847,2024-09-22,2024-09-22,30,8618.95,0.0,8618.95
b115adb06db1,867d565a14b4,791de21059e1,2024-07-20,2024-07-20,40,1715.5,0.0,1715.5
6b6461822d6b,96c7d03cc7cd,c1ec1f84d61b,2024-12-28,2024-12-28,37,16264.49,0.0,16264.49
8d0e1ba08968,9509000619b3,8d4b91272e30,2024-06-06,2024-06-06,47,15244.51,0.0,15244.51
1c28804eb9da,72ff69535329,5ac038e72743,2024-10-23,2024-10-23,37,12014.23,0.0,12014.23
b6ca155c33eb,92e3f2730357,520c845dde88,2024-07-13,2024-07-13,10,7508.25,0.0,7508.25
0975d0004f06,6202d1545806,0dd77115c4f3,2024-08-13,2024-08-13,21,5740.5,0.0,5740.5
602b23523384,a6e86fecf342,256894ada995,2024-08-29,2024-08-29,48,31912.93,0.0,31912.93
542b48984b6a,f19c8ce8e31f,e5b0897fe847,2024-09-26,2024-09-26,25,7900.34,268.61,7631.73
1e460f7d4d6a,bc00939a22c6,78846e412796,2024-12-14,2024-12-14,42,17835.91,0.0,17835.91
eccd556670ea,7ae1ec8148d5,49ba8e93926a,2024-06-01,2024-06-01,15,9701.39,0.0,9701.39
2f6e336fa6b7,7e2b91a7e011,999481f026b2,2024-09-07,2024-09-07,21,8305.86,730.92,7574.94
b307d6c3e0b5,9e9aee42f487,fe88323aa47c,2024-10-20,2024-10-20,44,12148.78,0.0,12148.78
6f7b00ace862,ca61f70758cc,e07b1801bfc0,2024-03-15,2024-03-15,19,3008.45,0.0,3008.45
6d43acae32a5,72ff69535329,0f83205e3d33,2024-09-02,2024-09-02,14,5001.41,425.12,4576.29
3a6127f1bc1a,254c9ac7c99a,726cea0fee93,2024-11-11,2024-11-11,48,16254.44,0.0,16254.44
ef277171dd27,d824ebf91c32,32ca003f13d5,2024-01-27,2024-01-27,7,1061.7,0.0,1061.7
a8f301e59786,c0fc8a590b37,49ba8e93926a,2024-03-21,2024-03-21,27,15398.37,0.0,15398.37
249359a8cc4a,a38c92a09b51,3da8eef4fef2,2024-06-13,2024-06-13,19,6043.72,0.0,6043.72
bce14cb90a80,96c7d03cc7cd,5dae24f1c6b7,2024-01-20,2024-01-20,12,8227.63,1044.91,7182.72
5ed77d694336,31305889fba7,5ac038e72743,2024-09-10,2024-09-10,12,5495.82,796.89,4698.93
c8c45cff56dc,95b08dcc92a8,43732b545005,2024-10-17,2024-10-17,39,23804.65,0.0,23804.65
5e5065258f73,7b2dd70078e9,009da4c25139,2024-09-09,2024-09-09,9,5745.91,0.0,5745.91
d123e22e5ca4,10147f67093e,1338b20b0557,2024-08-22,2024-08-22,42,4608.39,0.0,4608.39
46dbd2882963,31ab864d6918,78846e412796,2024-04-08,2024-04-08,12,4669.7,0.0,4669.7
7e7116013ffc,f9e94f6eec37,6e3433aaf26b,2024-07-24,2024-07-24,43,9813.86,0.0,9813.86
edbc017d0682,c0fc8a590b37,0f83205e3d33,2024-07-15,2024-07-15,16,6537.54,0.0,6537.54
35cbccc1fdb7,dad819b0207d,091b5b2306f4,2024-05-13,2024-05-13,42,25567.83,0.0,25567.83
4b5a50c41ac5,0ad8184bd347,2dd08ca9a60e,2024-12-17,2024-12-17,33,13633.29,0.0,13633.29
75f28de51bff,d824ebf91c32,256894ada995,2024-05-31,2024-05-31,24,15148.57,0.0,15148.57
4214b850b77f,7721e9d82d2b,1a6d32022bb8,2024-07-10,2024-07-10,27,16077.36,0.0,16077.36
8d81434656fc,2804f4e48008,5da6f21ae473,2024-05-06,2024-05-06,44,30978.46,0.0,30978.46
08e377a30064,6ad2ebd0f598,d96541af0a6a,2024-02-09,2024-02-09,37,7943.7,1000.91,6942.79
0b9713af8a5a,13336abf3f47,34d8515f8fff,2024-03-25,2024-03-25,21,3694.08,0.0,3694.08
de9ae0570aeb,79df87ccb0ea,6e3433aaf26b,2024-09-18,2024-09-18,29,9577.9,0.0,9577.9
03032e642df2,2d9a97d65cf5,49ba8e93926a,2024-08-24,2024-08-24,44,26888.89,0.0,26888.89
77ad77514b6c,63a3a6aac2fe,c5de84a42dc7,2024-10-23,2024-10-23,5,384.72,0.0,384.72
729d876daecd,227a069fea9c,dbd32c932e6d,2024-08-29,2024-08-29,3,976.95,0.0,976.95
3e8ad0ff8aa4,b3292f1c9faa,a5c6a1018b87,2024-08-03,2024-08-03,24,23550.91,1507.26,22043.65
9cd3828aa195,444496ef19f0,6e3433aaf26b,2024-12-15,2024-12-15,43,14606.85,423.6,14183.25
9568d8b780db,13336abf3f47,2dd08ca9a60e,2024-09-27,2024-09-27,9,3418.57,0.0,3418.57
88646205d08d,259cfa42932f,5c67ff91b651,2024-12-10,2024-12-10,47,11947.31,0.0,11947.31
99672e4e912d,a56feadbf2e4,34d8515f8fff,2024-05-21,2024-05-21,13,2367.35,0.0,2367.35
bbcc4321a902,b37a59bea8e8,520c845dde88,2024-01-09,2024-01-09,16,8827.95,0.0,8827.95
a39d46d6a816,6ad2ebd0f598,48dda018cffc,2024-01-25,2024-01-25,16,8840.57,0.0,8840.57
2c53dd4cde46,a2068315b83c,459ae78ee6d3,2024-03-12,2024-03-12,33,13313.05,572.46,12740.59
2c5c5ae8bac7,2c191986838c,1a6d32022bb8,2024-12-10,2024-12-10,21,9863.71,1311.87,8551.84
b723ecf5ae85,748cde6bb286,43732b545005,2024-05-20,2024-05-20,4,3124.17,0.0,3124.17
2d391a9acfc2,4aab89cd5624,2229196545d7,2024-10-11,2024-10-11,32,12263.4,0.0,12263.4
a1ff47c78dac,0f6ffc4abb4e,0368fe938df0,2024-12-22,2024-12-22,27,12920.32,0.0,12920.32
6fa49b6773b2,56be73aa3710,3b0e4cfdd3b3,2024-04-25,2024-04-25,20,11306.77,0.0,11306.77
