date_key,year,quarter,month,month_name,day,fiscal_year
2024-04-08,2024,2,4,April,8,2024
2024-04-09,2024,2,4,April,9,2024
2024-04-10,2024,2,4,April,10,2024
2024-04-11,2024,2,4,April,11,2024
2024-04-12,2024,2,4,April,12,2024
2024-04-13,2024,2,4,April,13,2024
2024-04-14,2024,2,4,April,14,2024
2024-04-15,2024,2,4,April,15,2024
2024-04-16,2024,2,4,April,16,2024
2024-04-17,2024,2,4,April,17,2024
2024-04-18,2024,2,4,April,18,2024
2024-04-19,2024,2,4,April,19,2024
2024-04-20,2024,2,4,April,20,2024
2024-04-21,2024,2,4,April,21,2024
2024-04-22,2024,2,4,April,22,2024
2024-04-23,2024,2,4,April,23,2024
2024-04-24,2024,2,4,April,24,2024
2024-04-25,2024,2,4,April,25,2024
2024-04-26,2024,2,4,April,26,2024
2024-04-27,2024,2,4,April,27,2024
2024-04-28,2024,2,4,April,28,2024
2024-04-29,2024,2,4,April,29,2024
2024-04-30,2024,2,4,April,30,2024
2024-05-01,2024,2,5,May,1,2024
2024-05-02,2024,2,5,May,2,2024
2024-05-03,2024,2,5,May,3,2024
2024-05-04,2024,2,5,May,4,2024
2024-05-05,2024,2,5,May,5,2024
2024-05-06,2024,2,5,May,6,2024
2024-05-07,2024,2,5,May,7,2024
2024-05-08,2024,2,5,May,8,2024
2024-05-09,2024,2,5,May,9,2024
2024-05-10,2024,2,5,May,10,2024
2024-05-11,2024,2,5,May,11,2024
2024-05-12,2024,2,5,May,12,2024
2024-05-13,2024,2,5,May,13,2024
2024-05-14,2024,2,5,May,14,2024
2024-05-15,2024,2,5,May,15,2024
2024-05-16,2024,2,5,May,16,2024
2024-05-17,2024,2,5,May,17,2024
2024-05-18,2024,2,5,May,18,2024
2024-05-19,2024,2,5,May,19,2024
2024-05-20,2024,2,5,May,20,2024
2024-05-21,2024,2,5,May,21,2024
2024-05-22,2024,2,5,May,22,2024
2024-05-23,2024,2,5,May,23,2024
2024-05-24,2024,2,5,May,24,2024
2024-05-25,2024,2,5,May,25,2024
2024-05-26,2024,2,5,May,26,2024
2024-05-27,2024,2,5,May,27,2024
2024-05-28,2024,2,5,May,28,2024
2024-05-29,2024,2,5,May,29,2024
2024-05-30,2024,2,5,May,30,2024
2024-05-31,2024,2,5,May,31,2024
2024-06-01,2024,2,6,June,1,2024
2024-06-02,2024,2,6,June,2,2024
2024-06-03,2024,2,6,June,3,2024
2024-06-04,2024,2,6,June,4,2024
2024-06-05,2024,2,6,June,5,2024
2024-06-06,2024,2,6,June,6,2024
2024-06-07,2024,2,6,June,7,2024
2024-06-08,2024,2,6,June,8,2024
2024-06-09,2024,2,6,June,9,2024
2024-06-10,2024,2,6,June,10,2024
2024-06-11,2024,2,6,June,11,2024
2024-06-12,2024,2,6,June,12,2024
2024-06-13,2024,2,6,June,13,2024
2024-06-14,2024,2,6,June,14,2024
2024-06-15,2024,2,6,June,15,2024
2024-06-16,2024,2,6,June,16,2024
2024-06-17,2024,2,6,June,17,2024
2024-06-18,2024,2,6,June,18,2024
2024-06-19,2024,2,6,June,19,2024
2024-06-20,2024,2,6,June,20,2024
2024-06-21,2024,2,6,June,21,2024
2024-06-22,2024,2,6,June,22,2024
2024-06-23,2024,2,6,June,23,2024
2024-06-24,2024,2,6,June,24,2024
2024-06-25,2024,2,6,June,25,2024
2024-06-26,2024,2,6,June,26,2024
2024-06-27,2024,2,6,June,27,2024
2024-06-28,2024,2,6,June,28,2024
2024-06-29,2024,2,6,June,29,2024
2024-06-30,2024,2,6,June,30,2024
2024-07-01,2024,3,7,July,1,2024
2024-07-02,2024,3,7,July,2,2024
2024-07-03,2024,3,7,July,3,2024
2024-07-04,2024,3,7,July,4,2024
2024-07-05,2024,3,7,July,5,2024
2024-07-06,2024,3,7,July,6,2024
2024-07-07,2024,3,7,July,7,2024
2024-07-08,2024,3,7,July,8,2024
2024-07-09,2024,3,7,July,9,2024
2024-07-10,2024,3,7,July,10,2024
2024-07-11,2024,3,7,July,11,2024
2024-07-12,2024,3,7,July,12,2024
2024-07-13,2024,3,7,July,13,2024
2024-07-14,2024,3,7,July,14,2024
2024-07-15,2024,3,7,July,15,2024
2024-07-16,2024,3,7,July,16,2024
2024-07-17,2024,3,7,July,17,2024
2024-07-18,2024,3,7,July,18,2024
2024-07-19,2024,3,7,July,19,2024
2024-07-20,2024,3,7,July,20,2024
2024-07-21,2024,3,7,July,21,2024
2024-07-22,2024,3,7,July,22,2024
2024-07-23,2024,3,7,July,23,2024
2024-07-24,2024,3,7,July,24,2024
2024-07-25,2024,3,7,July,25,2024
2024-07-26,2024,3,7,July,26,2024
2024-07-27,2024,3,7,July,27,2024
2024-07-28,2024,3,7,July,28,2024
2024-07-29,2024,3,7,July,29,2024
2024-07-30,2024,3,7,July,30,2024
2024-07-31,2024,3,7,July,31,2024
2024-08-01,2024,3,8,August,1,2024
2024-08-02,2024,3,8,August,2,2024
2024-08-03,2024,3,8,August,3,2024
2024-08-04,2024,3,8,August,4,2024
2024-08-05,2024,3,8,August,5,2024
2024-08-06,2024,3,8,August,6,2024
2024-08-07,2024,3,8,August,7,2024
2024-08-08,2024,3,8,August,8,2024
2024-08-09,2024,3,8,August,9,2024
2024-08-10,2024,3,8,August,10,2024
2024-08-11,2024,3,8,August,11,2024
2024-08-12,2024,3,8,August,12,2024
2024-08-13,2024,3,8,August,13,2024
2024-08-14,2024,3,8,August,14,2024
2024-08-15,2024,3,8,August,15,2024
2024-08-16,2024,3,8,August,16,2024
2024-08-17,2024,3,8,August,17,2024
2024-08-18,2024,3,8,August,18,2024
2024-08-19,2024,3,8,August,19,2024
2024-08-20,2024,3,8,August,20,2024
2024-08-21,2024,3,8,August,21,2024
2024-08-22,2024,3,8,August,22,2024
2024-08-23,2024,3,8,August,23,2024
2024-08-24,2024,3,8,August,24,2024
2024-08-25,2024,3,8,August,25,2024
2024-08-26,2024,3,8,August,26,2024
2024-08-27,2024,3,8,August,27,2024
2024-08-28,2024,3,8,August,28,2024
2024-08-29,2024,3,8,August,29,2024
2024-08-30,2024,3,8,August,30,2024
2024-08-31,2024,3,8,August,31,2024
2024-09-01,2024,3,9,September,1,2024
2024-09-02,2024,3,9,September,2,2024
2024-09-03,2024,3,9,September,3,2024
2024-09-04,2024,3,9,September,4,2024
2024-09-05,2024,3,9,September,5,2024
2024-09-06,2024,3,9,September,6,2024
2024-09-07,2024,3,9,September,7,2024
2024-09-08,2024,3,9,September,8,2024
2024-09-09,2024,3,9,September,9,2024
2024-09-10,2024,3,9,September,10,2024
2024-09-11,2024,3,9,September,11,2024
2024-09-12,2024,3,9,September,12,2024
2024-09-13,2024,3,9,September,13,2024
2024-09-14,2024,3,9,September,14,2024
2024-09-15,2024,3,9,September,15,2024
2024-09-16,2024,3,9,September,16,2024
2024-09-17,2024,3,9,September,17,2024
2024-09-18,2024,3,9,September,18,2024
2024-09-19,2024,3,9,September,19,2024
2024-09-20,2024,3,9,September,20,2024
2024-09-21,2024,3,9,September,21,2024
2024-09-22,2024,3,9,September,22,2024
2024-09-23,2024,3,9,September,23,2024
2024-09-24,2024,3,9,September,24,2024
2024-09-25,2024,3,9,September,25,2024
2024-09-26,2024,3,9,September,26,2024
2024-09-27,2024,3,9,September,27,2024
2024-09-28,2024,3,9,September,28,2024
2024-09-29,2024,3,9,September,29,2024
2024-09-30,2024,3,9,September,30,2024
2024-10-01,2024,4,10,October,1,2024
2024-10-02,2024,4,10,October,2,2024
2024-10-03,2024,4,10,October,3,2024
2024-10-04,2024,4,10,October,4,2024
2024-10-05,2024,4,10,October,5,2024
2024-10-06,2024,4,10,October,6,2024
2024-10-07,2024,4,10,October,7,2024
2024-10-08,2024,4,10,October,8,2024
2024-10-09,2024,4,10,October,9,2024
2024-10-10,2024,4,10,October,10,2024
2024-10-11,2024,4,10,October,11,2024
2024-10-12,2024,4,10,October,12,2024
2024-10-13,2024,4,10,October,13,2024
2024-10-14,2024,4,10,October,14,2024
2024-10-15,2024,4,10,October,15,2024
2024-10-16,2024,4,10,October,16,2024
2024-10-17,2024,4,10,October,17,2024
2024-10-18,2024,4,10,October,18,2024
2024-10-19,2024,4,10,October,19,2024
2024-10-20,2024,4,10,October,20,2024
2024-10-21,2024,4,10,October,21,2024
2024-10-22,2024,4,10,October,22,2024
2024-10-23,2024,4,10,October,23,2024
2024-10-24,2024,4,10,October,24,2024
2024-10-25,2024,4,10,October,25,2024
2024-10-26,2024,4,10,October,26,2024
2024-10-27,2024,4,10,October,27,2024
2024-10-28,2024,4,10,October,28,2024
2024-10-29,2024,4,10,October,29,2024
2024-10-30,2024,4,10,October,30,2024
2024-10-31,2024,4,10,October,31,2024
2024-11-01,2024,4,11,November,1,2024
2024-11-02,2024,4,11,November,2,2024
2024-11-03,2024,4,11,November,3,2024
2024-11-04,2024,4,11,November,4,2024
2024-11-05,2024,4,11,November,5,2024
2024-11-06,2024,4,11,November,6,2024
2024-11-07,2024,4,11,November,7,2024
2024-11-08,2024,4,11,November,8,2024
2024-11-09,2024,4,11,November,9,2024
2024-11-10,2024,4,11,November,10,2024
2024-11-11,2024,4,11,November,11,2024
2024-11-12,2024,4,11,November,12,2024
2024-11-13,2024,4,11,November,13,2024
2024-11-14,2024,4,11,November,14,2024
2024-11-15,2024,4,11,November,15,2024
2024-11-16,2024,4,11,November,16,2024
2024-11-17,2024,4,11,November,17,2024
2024-11-18,2024,4,11,November,18,2024
2024-11-19,2024,4,11,November,19,2024
2024-11-20,2024,4,11,November,20,2024
2024-11-21,2024,4,11,November,21,2024
2024-11-22,2024,4,11,November,22,2024
2024-11-23,2024,4,11,November,23,2024
2024-11-24,2024,4,11,November,24,2024
2024-11-25,2024,4,11,November,25,2024
2024-11-26,2024,4,11,November,26,2024
2024-11-27,2024,4,11,November,27,2024
2024-11-28,2024,4,11,November,28,2024
2024-11-29,2024,4,11,November,29,2024
2024-11-30,2024,4,11,November,30,2024
2024-12-01,2024,4,12,December,1,2024
2024-12-02,2024,4,12,December,2,2024
2024-12-03,2024,4,12,December,3,2024
2024-12-04,2024,4,12,December,4,2024
2024-12-05,2024,4,12,December,5,2024
2024-12-06,2024,4,12,December,6,2024
2024-12-07,2024,4,12,December,7,2024
2024-12-08,2024,4,12,December,8,2024
2024-12-09,2024,4,12,December,9,2024
2024-12-10,2024,4,12,December,10,2024
2024-12-11,2024,4,12,December,11,2024
2024-12-12,2024,4,12,December,12,2024
2024-12-13,2024,4,12,December,13,2024
2024-12-14,2024,4,12,December,14,2024
2024-12-15,2024,4,12,December,15,2024
2024-12-16,2024,4,12,December,16,2024
2024-12-17,2024,4,12,December,17,2024
2024-12-18,2024,4,12,December,18,2024
2024-12-19,2024,4,12,December,19,2024
2024-12-20,2024,4,12,December,20,2024
2024-12-21,2024,4,12,December,21,2024
2024-12-22,2024,4,12,December,22,2024
2024-12-23,2024,4,12,December,23,2024
2024-12-24,2024,4,12,December,24,2024
2024-12-25,2024,4,12,December,25,2024
2024-12-26,2024,4,12,December,26,2024
2024-12-27,2024,4,12,December,27,2024
2024-12-28,2024,4,12,December,28,2024
2024-12-29,2024,4,12,December,29,2024
2024-12-30,2024,4,12,December,30,2024
2024-12-31,2024,4,12,December,31,2024
